Age_Group,Gender,Nationality,Status,Location,Living_Situation,Monthly_Food_Budget_AED,Cooking_Frequency,Current_Spending_Per_Meal_AED,Delivery_Frequency,Interest_Level,Subscription_Preference,WTP_Per_Meal_AED,Meals_Per_Week,Taste_Satisfaction,Healthiness_Satisfaction,Affordability_Satisfaction,Convenience_Satisfaction,Variety_Satisfaction,Interested
25-34,Male,Southeast Asia,Freelancer/Entrepreneur,JLT,Rented studio/apartment (alone),500-1000,Rarely/Never,10-15,4-6 times a week,4,4,19.39,More than 10,3,2,3,2,4,1
45-54,Male,Indian Subcontinent,Working Professional (Married),International City,Living with family,1000-1500,4-6 times a week,Less than 10,Rarely,2,4,24.27,5-7,1,4,5,3,3,0
25-34,Male,Indian Subcontinent,Local University/College Student,JLT,Shared apartment with roommates,500-1000,Daily,30-50,Rarely,5,3,18.94,5-7,2,3,2,4,3,1
25-34,Male,Indian Subcontinent,International University/College Student,Dubai Academic City,Rented studio/apartment (alone),500-1000,Rarely/Never,10-15,4-6 times a week,4,5,27.38,5-7,1,1,3,4,3,1
18-24,Male,Middle East/North Africa,Local University/College Student,Bur Dubai/Deira,Rented studio/apartment (alone),500-1000,Daily,30-50,2-3 times a week,2,4,22.49,3-4,2,2,2,4,3,0
18-24,Male,East Asia,Working Professional (Married),Bur Dubai/Deira,Living with family,500-1000,2-3 times a week,15-20,Rarely,5,2,15.05,3-4,3,2,2,4,3,1
18-24,Male,Southeast Asia,Working Professional (Bachelor/Single),JLT,Company-provided accommodation,1500-2000,Once a week,Less than 10,Rarely,4,2,37.04,5-7,4,1,3,2,4,1
35-44,Male,Middle East/North Africa,International University/College Student,Dubai Academic City,University dormitory/hostel,500-1000,2-3 times a week,30-50,2-3 times a week,1,4,23.02,3-4,1,3,4,4,2,0
25-34,Male,Indian Subcontinent,International University/College Student,Other,Rented studio/apartment (alone),2000-3000,Daily,10-15,2-3 times a week,4,5,16.85,3-4,2,3,3,5,2,1
25-34,Female,Other,International University/College Student,JLT,University dormitory/hostel,More than 3000,Daily,30-50,2-3 times a week,3,3,25.65,8-10,2,3,4,2,2,0
18-24,Male,Middle East/North Africa,Working Professional (Bachelor/Single),Bur Dubai/Deira,Rented studio/apartment (alone),1000-1500,Daily,10-15,Once a week,5,5,27.55,8-10,4,3,1,2,1,1
45-54,Female,Middle East/North Africa,Working Professional (Married),International City,Shared apartment with roommates,500-1000,Once a week,30-50,4-6 times a week,5,4,13.03,3-4,3,1,2,5,1,1
35-44,Female,Indian Subcontinent,International University/College Student,JLT,Shared apartment with roommates,1000-1500,2-3 times a week,Less than 10,Once a week,5,2,29.65,8-10,2,4,3,4,4,1
18-24,Male,East Asia,International University/College Student,International City,Shared apartment with roommates,1500-2000,4-6 times a week,15-20,Once a day,4,1,18.62,8-10,3,4,1,5,3,1
18-24,Female,Southeast Asia,International University/College Student,Dubai Marina,Rented studio/apartment (alone),1000-1500,Once a week,20-30,Once a day,4,2,40.69,5-7,4,4,2,5,3,1
18-24,Female,Indian Subcontinent,Freelancer/Entrepreneur,Abu Dhabi,Shared apartment with roommates,Less than 500,Rarely/Never,30-50,2-3 times a week,5,4,31.19,3-4,1,1,3,3,3,1
18-24,Male,Indian Subcontinent,International University/College Student,JLT,Living with family,1000-1500,Daily,30-50,2-3 times a week,2,2,23.8,3-4,2,4,1,4,4,0
25-34,Male,Southeast Asia,Working Professional (Married),International City,Shared apartment with roommates,1500-2000,2-3 times a week,30-50,2-3 times a week,4,3,21.04,3-4,4,4,2,3,3,1
25-34,Female,Southeast Asia,Working Professional (Bachelor/Single),International City,University dormitory/hostel,1500-2000,Once a week,30-50,2-3 times a week,4,4,26.16,1-2,3,4,3,1,4,1
18-24,Female,Indian Subcontinent,Local University/College Student,JLT,Living with family,500-1000,4-6 times a week,10-15,2-3 times a week,2,4,31.9,3-4,2,1,3,4,2,0
25-34,Male,Europe,International University/College Student,Dubai Academic City,Shared apartment with roommates,1500-2000,4-6 times a week,15-20,4-6 times a week,4,2,26.8,3-4,2,3,4,3,4,1
18-24,Male,Indian Subcontinent,International University/College Student,International City,Shared apartment with roommates,500-1000,Once a week,15-20,4-6 times a week,5,3,25.26,3-4,2,4,3,4,3,1
18-24,Male,Middle East/North Africa,Working Professional (Bachelor/Single),Sharjah,Rented studio/apartment (alone),500-1000,Rarely/Never,15-20,Rarely,5,4,27.47,More than 10,2,3,3,3,2,1
18-24,Male,Europe,Working Professional (Married),JLT,Shared apartment with roommates,2000-3000,Rarely/Never,15-20,2-3 times a week,2,4,22.17,1-2,3,3,4,3,3,0
25-34,Female,Middle East/North Africa,Working Professional (Bachelor/Single),Dubai Academic City,University dormitory/hostel,500-1000,Once a week,15-20,2-3 times a week,2,5,24.25,5-7,2,4,4,2,3,0
35-44,Male,Southeast Asia,Working Professional (Bachelor/Single),Ajman,Shared apartment with roommates,500-1000,Once a week,10-15,2-3 times a week,3,2,10.31,5-7,3,2,2,2,1,0
18-24,Male,Middle East/North Africa,International University/College Student,International City,Company-provided accommodation,Less than 500,2-3 times a week,20-30,Never,5,5,34.79,1-2,4,3,1,2,3,1
25-34,Female,Indian Subcontinent,Freelancer/Entrepreneur,Abu Dhabi,Rented studio/apartment (alone),2000-3000,Once a week,10-15,4-6 times a week,2,4,29.39,More than 10,1,2,3,2,2,0
25-34,Male,Americas,Working Professional (Married),Dubai Academic City,Rented studio/apartment (alone),1500-2000,2-3 times a week,15-20,Once a week,5,4,20.81,5-7,2,4,3,5,1,1
18-24,Male,Middle East/North Africa,International University/College Student,Ajman,Rented studio/apartment (alone),1000-1500,4-6 times a week,15-20,Once a week,2,4,42.19,3-4,2,1,4,2,4,0
25-34,Female,Africa,Freelancer/Entrepreneur,Bur Dubai/Deira,University dormitory/hostel,1500-2000,Once a week,20-30,2-3 times a week,4,3,27.7,5-7,3,3,3,2,3,1
18-24,Female,Indian Subcontinent,Working Professional (Bachelor/Single),Sharjah,Shared apartment with roommates,500-1000,2-3 times a week,20-30,Once a day,3,2,18.71,3-4,1,3,3,4,4,0
18-24,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Other,Living with family,1000-1500,2-3 times a week,20-30,Once a week,5,4,33.85,5-7,3,4,5,4,3,1
45-54,Male,Indian Subcontinent,Working Professional (Married),Dubai Academic City,University dormitory/hostel,1000-1500,Rarely/Never,10-15,Once a day,3,4,30.18,1-2,4,3,3,2,2,0
45-54,Male,Southeast Asia,Working Professional (Married),Abu Dhabi,Shared apartment with roommates,Less than 500,Daily,15-20,2-3 times a week,4,4,30.16,8-10,2,4,1,4,3,1
35-44,Male,Middle East/North Africa,Working Professional (Bachelor/Single),JLT,Shared apartment with roommates,1000-1500,4-6 times a week,10-15,Once a week,3,3,23.59,3-4,4,4,4,4,3,0
18-24,Male,Africa,International University/College Student,JLT,Shared apartment with roommates,2000-3000,Daily,15-20,4-6 times a week,5,5,30.6,5-7,5,1,2,2,5,1
18-24,Male,Middle East/North Africa,Local University/College Student,JLT,Other,Less than 500,Once a week,15-20,Rarely,5,4,24.91,3-4,1,2,4,3,2,1
25-34,Male,Americas,Freelancer/Entrepreneur,Dubai Marina,University dormitory/hostel,500-1000,Once a week,Less than 10,Once a day,2,1,31.45,5-7,1,1,5,5,4,0
25-34,Male,Indian Subcontinent,International University/College Student,Dubai Academic City,Shared apartment with roommates,500-1000,2-3 times a week,10-15,Rarely,5,3,11.76,5-7,5,2,3,4,4,1
18-24,Male,Africa,Local University/College Student,Dubai Marina,University dormitory/hostel,500-1000,Once a week,30-50,2-3 times a week,4,4,23.53,3-4,5,3,3,4,3,1
25-34,Male,East Asia,Local University/College Student,Dubai Marina,Other,2000-3000,2-3 times a week,30-50,4-6 times a week,2,4,40.78,5-7,1,4,3,1,4,0
18-24,Male,East Asia,Local University/College Student,Sharjah,University dormitory/hostel,1000-1500,Once a week,15-20,4-6 times a week,4,4,20.86,3-4,1,4,2,3,2,1
45-54,Male,East Asia,Working Professional (Bachelor/Single),Sharjah,Shared apartment with roommates,1000-1500,2-3 times a week,Less than 10,Rarely,2,5,22.17,8-10,1,1,2,3,5,0
18-24,Male,Southeast Asia,Freelancer/Entrepreneur,JLT,Living with family,1500-2000,2-3 times a week,10-15,Once a day,5,3,23.42,3-4,5,1,3,2,3,1
25-34,Female,Southeast Asia,International University/College Student,Dubai Academic City,Rented studio/apartment (alone),500-1000,Rarely/Never,15-20,4-6 times a week,5,3,17.28,8-10,1,3,4,3,1,1
18-24,Female,Indian Subcontinent,International University/College Student,Dubai Academic City,Shared apartment with roommates,1000-1500,4-6 times a week,30-50,2-3 times a week,2,5,10.0,8-10,2,3,3,4,4,0
25-34,Female,Indian Subcontinent,International University/College Student,Dubai Academic City,Shared apartment with roommates,1000-1500,Daily,10-15,Once a week,4,5,25.16,3-4,4,2,2,3,3,1
25-34,Female,Europe,Freelancer/Entrepreneur,International City,Shared apartment with roommates,1000-1500,Once a week,20-30,2-3 times a week,5,4,28.09,3-4,1,4,3,4,3,1
18-24,Male,Southeast Asia,Working Professional (Bachelor/Single),JLT,Shared apartment with roommates,More than 3000,Rarely/Never,10-15,Once a day,5,5,26.58,3-4,3,4,4,4,3,1
45-54,Male,East Asia,International University/College Student,Dubai Academic City,University dormitory/hostel,1500-2000,2-3 times a week,More than 50,4-6 times a week,4,1,25.84,8-10,2,2,3,3,1,1
35-44,Male,Middle East/North Africa,Working Professional (Married),Abu Dhabi,Shared apartment with roommates,1000-1500,Daily,15-20,4-6 times a week,5,5,27.34,3-4,4,4,3,4,3,1
45-54,Female,Indian Subcontinent,Working Professional (Married),Dubai Marina,Shared apartment with roommates,1500-2000,2-3 times a week,20-30,4-6 times a week,4,3,35.18,5-7,2,2,4,2,4,1
35-44,Female,Indian Subcontinent,Working Professional (Married),JLT,Shared apartment with roommates,500-1000,2-3 times a week,15-20,2-3 times a week,4,2,25.48,8-10,3,3,3,4,1,1
25-34,Male,Southeast Asia,Freelancer/Entrepreneur,Dubai Marina,Rented studio/apartment (alone),Less than 500,4-6 times a week,20-30,Once a week,5,2,22.41,3-4,3,2,3,2,2,1
45-54,Male,Middle East/North Africa,International University/College Student,International City,Company-provided accommodation,500-1000,Once a week,10-15,4-6 times a week,4,3,24.75,5-7,1,1,4,1,1,1
18-24,Male,Indian Subcontinent,Working Professional (Married),JLT,Rented studio/apartment (alone),500-1000,Rarely/Never,10-15,2-3 times a week,4,3,31.63,3-4,1,4,2,4,2,1
18-24,Male,Middle East/North Africa,Working Professional (Bachelor/Single),Bur Dubai/Deira,University dormitory/hostel,1000-1500,2-3 times a week,30-50,2-3 times a week,4,3,38.3,1-2,2,2,5,3,3,1
18-24,Female,Indian Subcontinent,Working Professional (Married),JLT,University dormitory/hostel,1000-1500,2-3 times a week,30-50,Rarely,5,2,21.97,8-10,2,3,1,5,4,1
18-24,Female,Middle East/North Africa,Working Professional (Married),JLT,Company-provided accommodation,2000-3000,2-3 times a week,30-50,Rarely,5,3,27.79,1-2,4,2,1,3,4,1
25-34,Male,Indian Subcontinent,Working Professional (Married),Other,Shared apartment with roommates,1000-1500,Daily,20-30,Once a week,4,4,29.71,3-4,4,1,4,3,3,1
18-24,Prefer not to say,East Asia,Working Professional (Bachelor/Single),Ajman,University dormitory/hostel,1000-1500,Rarely/Never,20-30,4-6 times a week,3,3,19.06,8-10,2,1,2,3,2,0
35-44,Female,Indian Subcontinent,International University/College Student,Bur Dubai/Deira,Rented studio/apartment (alone),Less than 500,2-3 times a week,Less than 10,Once a day,4,3,27.16,3-4,3,3,3,3,4,1
18-24,Male,Middle East/North Africa,Working Professional (Bachelor/Single),Dubai Marina,Rented studio/apartment (alone),Less than 500,2-3 times a week,15-20,2-3 times a week,4,4,15.27,Would not order,3,3,4,3,4,1
18-24,Male,Indian Subcontinent,Other,Bur Dubai/Deira,Rented studio/apartment (alone),1000-1500,Once a week,15-20,4-6 times a week,3,5,12.85,Would not order,4,2,4,4,3,0
25-34,Male,Indian Subcontinent,Freelancer/Entrepreneur,Dubai Academic City,Shared apartment with roommates,1000-1500,2-3 times a week,20-30,2-3 times a week,5,4,29.93,3-4,2,3,5,4,3,1
18-24,Male,Middle East/North Africa,International University/College Student,JLT,University dormitory/hostel,1500-2000,Once a week,15-20,Once a week,4,3,23.93,1-2,2,3,2,4,4,1
35-44,Male,Middle East/North Africa,International University/College Student,International City,Company-provided accommodation,500-1000,Daily,10-15,Rarely,3,4,28.62,5-7,2,3,3,5,3,0
18-24,Male,Southeast Asia,International University/College Student,JLT,Shared apartment with roommates,Less than 500,Rarely/Never,20-30,Rarely,2,2,26.86,3-4,2,3,1,2,2,0
55+,Male,Indian Subcontinent,Working Professional (Married),Dubai Marina,Rented studio/apartment (alone),1000-1500,Rarely/Never,30-50,2-3 times a week,3,2,19.19,1-2,2,4,3,4,3,0
35-44,Male,Southeast Asia,Working Professional (Married),Dubai Academic City,Rented studio/apartment (alone),500-1000,Once a week,15-20,Once a week,5,3,26.64,5-7,2,3,4,3,1,1
18-24,Female,Africa,International University/College Student,Abu Dhabi,Rented studio/apartment (alone),Less than 500,Rarely/Never,10-15,2-3 times a week,3,5,17.14,1-2,1,2,2,4,2,0
